street,crimes during out,crimes in buffer,rate,long,lat
10444 S SEELEY AVE,0,1,0.0,-87.67294790109207,41.7038652266646
10444 S VERNON AVE,0,1,0.0,-87.61247702932987,41.70469602569185
1045 W GARFIELD BLVD,0,2,0.0,-87.65141237968166,41.79384873183643
10450 S STATE ST,0,1,0.0,-87.62342678581359,41.70385294483707
1046 N ASHLAND AVE,0,3,0.0,-87.66742950271353,41.90104162013967
1047 W 87TH ST,0,3,0.0,-87.64997499555426,41.735982426083744
1048 N MARSHFIELD AVE,0,1,0.0,-87.66865150517245,41.901021341424375
105 E MONROE DR,0,1,0.0,-87.62415061884116,41.88082972011897
105 W ADAMS ST,0,1,0.0,-87.63097017174067,41.87941281490996
1050 N CHRISTIANA AVE,0,1,0.0,-87.71054115449907,41.900295419431686
1050 N MARSHFIELD AVE,0,1,0.0,-87.66865320529459,41.90106992423322
1050 N WOLCOTT AVE,0,1,0.0,-87.67471157193134,41.89959084472569
10500 S CORLISS AVE,0,2,0.0,-87.60390587019373,41.70380720232525
10500 S MAY ST,0,1,0.0,-87.65081895325633,41.70319826121144
10500 S VINCENNES AVE,0,2,0.0,-87.65738453294348,41.70312684523071
1051 N MONTICELLO AVE,0,2,0.0,-87.71768696345993,41.90003635281715
10510 S NORMAL AVE,0,1,0.0,-87.63547262506269,41.703185212213725
1052 N LAWNDALE AVE,0,8,0.0,-87.71890663003569,41.90004291517347
10520 S MARYLAND AVE,0,2,0.0,-87.60269117846381,41.703459633243256
10524 S PEORIA ST,0,2,0.0,-87.64513846035948,41.70281161225568
1053 N MARSHFIELD AVE,0,1,0.0,-87.66865575690468,41.90114266124217
1054 W 109TH PL,0,1,0.0,-87.6492256355999,41.695003137868575
10543 S PEORIA ST,0,2,0.0,-87.64512754130631,41.70246191950813
10547 S PARNELL AVE,0,1,0.0,-87.63664699151512,41.70248890713772
10549 S EMERALD AVE,0,1,0.0,-87.64147810793362,41.70232885910722
10549 S PARNELL AVE,0,1,0.0,-87.63664592376139,41.70245212667907
1055 N MONTICELLO AVE,0,1,0.0,-87.7176895601627,41.900110186763136
10554 S AVENUE E,0,1,0.0,-87.52924081566836,41.7035394583164
10554 S INDIANA AVE,0,2,0.0,-87.6185152808568,41.70257136057083
10554 S LAFAYETTE AVE,0,1,0.0,-87.62457851465996,41.70245702567012
1056 N HARDING AVE,0,2,0.0,-87.72500201880968,41.900066304751604
1056 W GRANVILLE AVE,0,12,0.0,-87.65739827391262,41.994587588970674
1057 N RIDGEWAY AVE,0,2,0.0,-87.72012878050006,41.90012451225043
1058 S PLYMOUTH CT,0,1,0.0,-87.62856749773529,41.86946431885578
1059 N HERMITAGE AVE,0,1,0.0,-87.67110771570447,41.90124723483404
106 E 90TH ST,0,2,0.0,-87.62042971722174,41.7309228820005
106 W VAN BUREN ST,0,1,0.0,-87.63096861661438,41.87688222207635
10600 S ARTESIAN AVE,0,3,0.0,-87.68272357551052,41.700908782866286
10600 S BUFFALO AVE,0,1,0.0,-87.54376666142065,41.70276256092023
10610 S AVENUE M,0,1,0.0,-87.53770315933697,41.70256102995013
10611 S EWING AVE,0,2,0.0,-87.53528352144247,41.702532391622356
10611 S INDIANA AVE,0,1,0.0,-87.61848390170151,41.70143213300188
10619 S COTTAGE GROVE AVE,0,2,0.0,-87.60784419277428,41.70157841540737
10622 S CALHOUN AVE,0,4,0.0,-87.56201381214468,41.7023708780983
10629 S CALHOUN AVE,0,2,0.0,-87.56201204818309,41.70224270642144
10629 S CHAMPLAIN AVE,0,4,0.0,-87.60740014081786,41.70139597867386
10631 S MICHIGAN AVE,0,1,0.0,-87.62084818454697,41.701058584117824
10633 S CALHOUN AVE,0,3,0.0,-87.56201109298419,41.70216942661162
10635 S CHAMPLAIN AVE,0,15,0.0,-87.60739699994714,41.70128453920671
10639 S AVENUE M,0,1,0.0,-87.53770238527773,41.70202972421203
10641 S HOMAN AVE,0,1,0.0,-87.70602192393025,41.69978932737268
1066 S PLYMOUTH CT,0,3,0.0,-87.6285665778194,41.86941436789902
1068 S PLYMOUTH CT,0,2,0.0,-87.62856598222494,41.86940174070367
10700 S CALUMET AVE,0,2,0.0,-87.61478912103155,41.69999334536182
10700 S DAUPHIN AVE,0,1,0.0,-87.60912947551455,41.70007329409509
10700 S DR MARTIN LUTHER KING JR DR,0,4,0.0,-87.61357205428169,41.70001075828508
1071 W DIVISION ST,0,2,0.0,-87.65410233554579,41.90355210061809
10713 S AVENUE F,0,1,0.0,-87.5304512376801,41.70065679223435
1072 S PLYMOUTH CT,0,2,0.0,-87.62856552226756,41.86937676522508
10720 S DR MARTIN LUTHER KING JR DR,0,2,0.0,-87.61355660128125,41.69946245406317
10721 S INDIANA AVE,0,3,0.0,-87.61843503734683,41.699404427607725
10724 S FOREST AVE,0,1,0.0,-87.61598798370436,41.69937537179509
10724 S INDIANA AVE,0,3,0.0,-87.6184337566946,41.69935474731367
10725 S AVENUE M,0,2,0.0,-87.53769978448553,41.70047267818717
10728 S CHAMPLAIN AVE,0,2,0.0,-87.6073448157528,41.69957270397088
10728 S WABASH AVE,0,1,0.0,-87.62211241760744,41.699374649580044
10729 S EDBROOKE AVE,0,1,0.0,-87.6196622776973,41.699222619891145
10741 S FOREST AVE,0,1,0.0,-87.61598006714088,41.6990992430449
10742 S CHAMPLAIN AVE,0,2,0.0,-87.60733641877245,41.699310018861816
10751 S DR MARTIN LUTHER KING JR DR,1,6,0.16666666666666666,-87.61354312149466,41.698963725380004
10800 S CALHOUN AVE,0,1,0.0,-87.56196630187802,41.699142697808384
10800 S WABASH AVE,0,2,0.0,-87.62207390235291,41.69806873371433
10800 S WENTWORTH AVE,0,3,0.0,-87.62804038438837,41.69799188347742
10804 S HOYNE AVE,0,1,0.0,-87.67394124308625,41.69713938866368
10815 S PARNELL AVE,0,1,0.0,-87.6364968476813,41.697615642285115
10816 S PARNELL AVE,0,1,0.0,-87.63649631386845,41.69759725204021
10827 S FOREST AVE,0,1,0.0,-87.6159391076594,41.697661603872106
10830 S FOREST AVE,0,1,0.0,-87.61593752379594,41.69760643298947
10831 S AVENUE M,0,1,0.0,-87.53769926022188,41.69854806680446
10842 S SANGAMON ST,0,1,0.0,-87.64617420601788,41.697000725869344
10850 S STATE ST,0,2,0.0,-87.62322748888681,41.69688628169929
10855 S HOYNE AVE,0,1,0.0,-87.67411278898564,41.69622845973439
109 E PERSHING RD,0,2,0.0,-87.62300618573721,41.82375769800512
10900 S DOTY AVE,0,4,0.0,-87.59645726140431,41.69634548407666
10908 S INDIANA AVE,0,2,0.0,-87.61833708372507,41.69607039885685
10908 S STATE LINE RD,0,1,0.0,-87.52462492939848,41.69708905910984
10909 S STATE ST,0,4,0.0,-87.62320110257386,41.695964046258545
10915 S VERNON AVE,0,2,0.0,-87.61224541813002,41.696113875057776
10928 S AVENUE C,0,1,0.0,-87.52700679540119,41.69673486987968
10931 S WESTERN AVE,0,1,0.0,-87.68125597367286,41.69496592861011
10943 S DR MARTIN LUTHER KING JR DR,0,1,0.0,-87.61345157857521,41.69558915403359
10947 S AVENUE M,0,1,0.0,-87.53770022053105,41.69643780658625
10950 S BEVERLY AVE,0,1,0.0,-87.64942940595455,41.69477794333611
1099 N LAWNDALE AVE,0,2,0.0,-87.71893652256449,41.90090970569685
1100 E 45TH ST,0,1,0.0,-87.59933900437349,41.81325486324818
1100 N LA SALLE DR,0,5,0.0,-87.63285700817292,41.90182426995524
1100 N LAKE SHORE DR,0,4,0.0,-87.62450684956474,41.902438072037356
1100 N MASON AVE,0,2,0.0,-87.77409255719981,41.90019367770103
1100 N OAKLEY BLVD,0,3,0.0,-87.6845347149879,41.90123896456573
1100 N SACRAMENTO AVE,0,1,0.0,-87.70176906610908,41.901058877111176
1100 N SPRINGFIELD AVE,0,1,0.0,-87.72380999510374,41.90086840932193
1100 N WESTERN AVE,0,1,0.0,-87.68697938472687,41.90120095050653
1100 S CLINTON ST,0,1,0.0,-87.64077706303007,41.86901754244826
1100 S FRANCISCO AVE,0,3,0.0,-87.69839497548813,41.868305972065784
1100 S MAYFIELD AVE,0,1,0.0,-87.77173758951515,41.86732323662086
1100 S MOZART ST,0,1,0.0,-87.69717490332427,41.86832099296705
1100 S PULASKI RD,0,1,0.0,-87.72524527214752,41.867992429860465
1100 S THROOP ST,0,4,0.0,-87.6591722668385,41.86858973886332
1100 W 103RD ST,0,3,0.0,-87.650126093981,41.70685243044936
1100 W 77TH ST,0,1,0.0,-87.65140973537505,41.75417494413239
1100 W MARQUETTE RD,0,1,0.0,-87.651881535764,41.77236911397216
11000 S DR MARTIN LUTHER KING JR DR,0,1,0.0,-87.61342476980052,41.69456582499888
11000 S EDBROOKE AVE,0,4,0.0,-87.61951991404597,41.69443791710565
11000 S PARNELL AVE,0,1,0.0,-87.6363939749361,41.69424954551084
11005 S VERNON AVE,0,1,0.0,-87.6122033719558,41.69442070899314
11007 S VERNON AVE,0,1,0.0,-87.612201846501,41.69436059860731
11008 S STATE LINE RD,0,1,0.0,-87.52463581610554,41.69527431557785
11009 S PARNELL AVE,0,1,0.0,-87.63638880490078,41.69408403098738
1101 N LAKE SHORE DR,0,2,0.0,-87.62451572582067,41.90246584357214
1101 N WINCHESTER AVE,0,1,0.0,-87.67598681691427,41.9014799271757
11010 S EMERALD AVE,0,1,0.0,-87.64121879561752,41.69400702724236
